ipsedID,county,avgCasePerCapita,fipsCode,school,state,flag,stateCHECK,vaxPolicySchoolnameCHECK,enforceDateCHECK,typeCHECK,mask,maskEnforceDate,allStudentsCHECK,urlVaxCHECK,urlMask
150604,Johnson County,230.2494323,18081,Franklin College,IN,0,IN,Franklin College,2021-08-24,Private,1,,0,https://franklincollege.edu/wp-content/uploads/2021/08/FortifyFranklinUpdate_082321.pdf,https://franklincollege.edu/wp-content/uploads/2021/08/FortifyFranklinUpdate_082321.pdf
150677,Kosciusko County,213.536415,18085,Grace College and Theological Seminary,IN,0,IL,Garrett-Evangelical Theological Seminary,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
150941,Huntington County,268.4911145,18069,Huntington University,IN,0,IN,Huntington University,2021-05-10,Private,1,,1,https://www.huntington.edu/uploads/documents/COVID-19_General_Operational_Guildelines.pdf,https://www.huntington.edu/uploads/documents/COVID-19_General_Operational_Guildelines.pdf
151111,Marion County,201.0034926,18097,Indiana University-Purdue University-Indianapolis,IN,0,IN,Indiana University-Purdue University at Indianapolis,2021-05-21,Public,1,,1,https://www.iu.edu/covid/prevention/covid-19-vaccine.html,
151324,Vigo County,231.9821884,18167,Indiana State University,IN,0,IN,Indiana State University,2021-08-24,Public,1,,0,https://www.indstate.edu/covid,https://www.indstate.edu/covid
151379,Floyd County,207.3655887,18043,Indiana University-Southeast,IN,0,IN,Indiana University-Southeast,2021-05-21,Public,1,,1,https://www.iu.edu/covid/prevention/covid-19-vaccine.html,
151777,Wabash County,239.6900862,18169,Manchester University,IN,0,IN,Manchester University,2021-06-07,Private,1,,0,https://www.manchester.edu/student-life/health-and-sports-medicine/covid-19-vaccine-information,https://www.manchester.edu/student-life/health-and-sports-medicine/covid-19-vaccine-information
151801,Grant County,226.3800973,18053,Indiana Wesleyan University-Marion,IN,0,IN,Indiana Wesleyan University-Marion,2021-08-26,Private,1,,0,https://www.indwes.edu/covid-19/marion-campus/,https://www.indwes.edu/covid-19/marion-campus/
152080,St. Joseph County,223.93708,18141,University of Notre Dame,IN,0,IN,University of Notre Dame,2021-04-07,Private,1,,1,https://here.nd.edu/health-safety/covid-19-vaccination-information/faculty-and-staff-vaccination-requirement/,
152099,Gibson County,296.1899766,18051,Oakland City University,IN,0,IN,Oakland City University,2021-04-06,Private,1,,1,https://oakland.edu/return-to-campus/,https://oakland.edu/return-to-campus/
153108,Marion County,194.1600394,19125,Central College,IA,0,IA,Central College,2021-08-20,Private,1,,0,https://central.edu/health/covid-19/,https://central.edu/health/covid-19/
153250,Sioux County,195.6486786,19167,Dordt University,IA,0,IA,Dordt University,2021-04-26,Private,1,,0,https://www.dordt.edu/student-life/student-health-and-counseling-center/health-immunization-requirements,https://www.dordt.edu/student-life/student-health-and-counseling-center/health-immunization-requirements
153603,Story County,174.962936,19169,Iowa State University,IA,0,IA,Iowa State University,2021-04-23,Public,1,,0,https://web.iastate.edu/safety/updates/covid19/vaccinations,https://web.iastate.edu/safety/updates/covid19/vaccinations
154350,Warren County,208.0765185,19181,Simpson College,IA,0,IA,Simpson College,2021-08-12,Private,1,,0,https://simpson.edu/covid19,https://simpson.edu/covid19
154590,Mahaska County,186.158734,19123,William Penn University,IA,0,IA,William Penn University,2021-06-23,Private,1,,0,https://www.wmpenn.edu/vaccine-documentation/,https://www.wmpenn.edu/vaccine-documentation/
154749,Harvey County,238.7221749,20079,Bethel College-North Newton,KS,0,KS,Bethel College-North Newton,2021-04-28,Private,1,,0,https://www.bethel.edu/covid-19/community-information/vaccine,https://www.bethel.edu/covid-19/community-information/vaccine
155025,Lyon County,256.6192401,20111,Emporia State University,KS,0,KS,Emporia State University,2021-04-23,Public,1,,0,https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-meningitis-policy/,https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-meningitis-policy/
156082,Shawnee County,234.6261761,20177,Washburn University,KS,0,KS,Washburn University,2021-08-11,Public,1,,0,https://www.washburn.edu/student-life/health-safety/wuvax.html,https://www.washburn.edu/student-life/health-safety/wuvax.html
156213,Jessamine County,240.0038374,21113,Asbury University,KY,0,KY,Asbury University,2021-07-21,Private,1,,0,https://www.asbury.edu/covid19plan/covidfaqs/,https://www.asbury.edu/covid19plan/covidfaqs/
156745,Scott County,254.8088424,21209,Georgetown College,KY,0,KY,Georgetown College,2021-04-28,Private,1,,0,https://www.carleton.edu/covid/updates/message-from-president-poskanzer-sharing-the-framework-for-fall-2021/,
157216,Adair County,260.8833781,21001,Lindsey Wilson College,KY,0,KY,Lindsey Wilson College,2021-05-04,Private,1,,0,https://www.lindsey.edu/news/story.cfm?id=1220,https://www.lindsey.edu/news/story.cfm?id=1220
157447,Campbell County,210.7639951,21037,Northern Kentucky University,KY,0,KY,Northern Kentucky University,2021-06-23,Public,1,,0,https://inside.nku.edu/studentaffairs/departments/hcsw/health/health-faqs/immunization-vaccination-information.html,https://inside.nku.edu/studentaffairs/departments/hcsw/health/health-faqs/immunization-vaccination-information.html
157535,Pike County,281.0258953,21195,University of Pikeville,KY,0,KY,University of Pikeville,2021-08-04,Private,1,,0,https://www.upike.edu/healthy-at-upike/,https://www.upike.edu/healthy-at-upike/
159647,Lincoln Parish,211.0948485,22061,Louisiana Tech University,LA,0,LA,Louisiana Tech University,2021-08-23,Public,1,,1,https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/,
159993,Ouachita Parish,266.1668337,22073,University of Louisiana at Monroe,LA,0,LA,University of Louisiana at Monroe,2021-08-23,Public,1,,1,https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/,
160409,St. Tammany Parish,225.8420308,22103,Saint Joseph Seminary College,LA,0,LA,Saint Joseph Seminary College,2021-08-26,Private,1,,1,https://www.sju.edu/hawk-hill-ahead/health-and-safety/monitoring,https://www.sju.edu/hawk-hill-ahead/health-and-safety/monitoring
161217,Kennebec County,161.9265259,23011,University of Maine at Augusta,ME,0,ME,University of Maine at Augusta,2021-08-04,Public,1,,1,https://www.maine.edu/together/community-guidance/students/,
161226,Franklin County,159.6511687,23007,University of Maine at Farmington,ME,0,ME,University of Maine at Farmington,2021-08-04,Public,1,,1,https://www.maine.edu/together/community-guidance/students/,
