county_name,fips_code,state_name,avgCasePerCapita,count
Caldwell County,29025,Missouri,144.31531773399,812
Caldwell County,37027,North Carolina,232.380333743842,812
Caldwell County,48055,Texas,279.37253817734,812
Caldwell Parish,22021,Louisiana,274.839897783251,812
Caledonia County,50005,Vermont,161.187016009852,812
Calhoun County,1015,Alabama,245.310273399015,812
Calhoun County,5013,Arkansas,131.150853448276,812
Calhoun County,12013,Florida,239.678464285714,812
Calhoun County,13037,Georgia,158.731481527094,812
Calhoun County,17013,Illinois,244.668174876847,812
Calhoun County,19025,Iowa,218.676291871921,812
Calhoun County,26025,Michigan,219.447735221675,812
Calhoun County,28013,Mississippi,270.436874384236,812
Calhoun County,45017,South Carolina,152.982525862069,812
Calhoun County,48057,Texas,226.290929802956,812
Calhoun County,54013,West Virginia,201.298979064039,812
Callahan County,48059,Texas,163.844421182266,812
Callaway County,29027,Missouri,231.714752463054,812
Calloway County,21035,Kentucky,173.568233990148,812
Calumet County,55015,Wisconsin,248.287112068966,812
Calvert County,24009,Maryland,41.2310295566502,812
Camas County,16025,Idaho,24.8309729064039,812
Cambria County,42021,Pennsylvania,228.494481527094,812
Camden County,13039,Georgia,178.191369458128,812
Camden County,29029,Missouri,171.738266009852,812
Camden County,34007,New Jersey,214.131660098522,812
Camden County,37029,North Carolina,123.322701970443,812
Cameron County,42023,Pennsylvania,127.888283251232,812
Cameron County,48061,Texas,208.150616995074,812
Cameron Parish,22023,Louisiana,119.726412561576,812
Camp County,48063,Texas,177.280073891626,812
Campbell County,21037,Kentucky,210.763995073892,812
Campbell County,46021,South Dakota,70.3474002463054,812
Campbell County,47013,Tennessee,263.219525862069,812
Campbell County,51031,Virginia,188.935150246305,812
Campbell County,56005,Wyoming,223.40013546798,812
Camuy Municipio,72027,Puerto Rico,125.542782019704,812
Canóvanas Municipio,72029,Puerto Rico,113.283726600985,812
Canadian County,40017,Oklahoma,228.568959359606,812
Candler County,13043,Georgia,159.256081280788,812
Cannon County,47015,Tennessee,240.902084975369,812
Canyon County,16027,Idaho,230.262536945813,812
Cape Girardeau County,29031,Missouri,204.468072660099,812
Cape May County,34009,New Jersey,204.895456896552,812
Carbon County,30009,Montana,146.703806650246,812
Carbon County,42025,Pennsylvania,212.338742610837,812
Carbon County,49007,Utah,212.590841133005,812
Carbon County,56007,Wyoming,263.222269704434,812
Caribou County,16029,Idaho,157.043373152709,812
Carlisle County,21039,Kentucky,152.905971674877,812
Carlton County,27017,Minnesota,210.675544334975,812
Carolina Municipio,72031,Puerto Rico,152.219907635468,812
Caroline County,24011,Maryland,61.7717561576355,812
Caroline County,51033,Virginia,188.947732758621,812
Carroll County,5015,Arkansas,182.472589901478,812
Carroll County,13045,Georgia,170.060619458128,812
Carroll County,17015,Illinois,250.050358374384,812
Carroll County,18015,Indiana,172.518362068966,812
Carroll County,19027,Iowa,208.416,812
Carroll County,21041,Kentucky,268.500942118227,812
Carroll County,24013,Maryland,50.1619544334975,812
Carroll County,28015,Mississippi,208.556082512315,812
Carroll County,29033,Missouri,204.800433497537,812
Carroll County,33003,New Hampshire,161.334827586207,812
Carroll County,39019,Ohio,162.541075123153,812
Carroll County,47017,Tennessee,274.877098522168,812
Carroll County,51035,Virginia,191.69675862069,812
Carson City,32510,Nevada,228.817908866995,812
Carson County,48065,Texas,197.302016009852,812
Carter County,21043,Kentucky,274.155743842365,812
Carter County,29035,Missouri,194.755035714286,812
Carter County,30011,Montana,93.3481748768473,812
Carter County,40019,Oklahoma,254.965112068966,812
Carter County,47019,Tennessee,251.114405172414,812
Carteret County,37031,North Carolina,173.751806650246,812
Carver County,27019,Minnesota,218.151939655172,812
Cascade County,30013,Montana,265.800139162562,812
Casey County,21045,Kentucky,218.510607142857,812
Cass County,17017,Illinois,318.856726600985,812
Cass County,18017,Indiana,266.012331280788,812
Cass County,19029,Iowa,189.02729679803,812
Cass County,26027,Michigan,182.925346059113,812
Cass County,27021,Minnesota,200.169178571429,812
Cass County,29037,Missouri,203.012189655172,812
Cass County,31025,Nebraska,87.1096268472907,812
Cass County,38017,North Dakota,279.29047044335,812
Cass County,48067,Texas,204.0431908867,812
Cassia County,16031,Idaho,176.155016009852,812
Castro County,48069,Texas,238.798497536946,812
Caswell County,37033,North Carolina,197.183906403941,812
Cataño Municipio,72033,Puerto Rico,136.942874384236,812
Catahoula Parish,22025,Louisiana,215.705327586207,812
Catawba County,37035,North Carolina,256.74496182266,812
Catoosa County,13047,Georgia,185.051624384236,812
Catron County,35003,New Mexico,58.3115972906404,812
Cattaraugus County,36009,New York,173.845983990148,812
Cavalier County,38019,North Dakota,152.025843596059,812
Cayey Municipio,72035,Puerto Rico,107.181187192118,812
Cayuga County,36011,New York,184.388124384236,812
Cecil County,24015,Maryland,56.5708657635468,812
Cedar County,19031,Iowa,185.129096059113,812
Cedar County,29039,Missouri,167.816926108374,812
Cedar County,31027,Nebraska,69.535395320197,812
Ceiba Municipio,72037,Puerto Rico,79.1276280788177,812
Centre County,42027,Pennsylvania,186.664873152709,812
Cerro Gordo County,19033,Iowa,223.734689655172,812
Chaffee County,8015,Colorado,186.658998768473,812
Chambers County,1017,Alabama,218.174437192118,812
Chambers County,48071,Texas,201.367305418719,812
Champaign County,17019,Illinois,258.446906403941,812
Champaign County,39021,Ohio,190.98249137931,812
Chariton County,29041,Missouri,179.389017241379,812
Charles City County,51036,Virginia,109.869993842365,812
Charles County,24017,Maryland,61.5978534482759,812
Charles Mix County,46023,South Dakota,257.730024630542,812
Charleston County,45019,South Carolina,234.11154679803,812
Charlevoix County,26029,Michigan,156.754365763547,812
Charlotte County,12015,Florida,164.577134236453,812
Charlotte County,51037,Virginia,167.334274630542,812
Charlottesville City,51540,Virginia,165.818184729064,812
Charlton County,13049,Georgia,186.108464285714,812
Chase County,20017,Kansas,161.010096059113,812
Chase County,31029,Nebraska,88.6297783251232,812
Chatham County,13051,Georgia,188.928763546798,812
Chatham County,37037,North Carolina,147.412811576355,812
Chattahoochee County,13053,Georgia,585.46936453202,812
Chattooga County,13055,Georgia,227.854151477833,812
Chautauqua County,20019,Kansas,177.377783251232,812
Chautauqua County,36013,New York,159.615283251232,812
Chaves County,35005,New Mexico,283.437050492611,812
Cheatham County,47021,Tennessee,229.558910098522,812
Cheboygan County,26031,Michigan,152.113746305419,812
Chelan County,53007,Washington,224.315006157635,812
Chemung County,36015,New York,220.383975369458,812
Chenango County,36017,New York,168.782908866995,812
Cherokee County,1019,Alabama,163.587764778325,812
Cherokee County,13057,Georgia,209.848299261084,812
Cherokee County,19035,Iowa,216.106416256158,812
Cherokee County,20021,Kansas,261.240124384236,812
Cherokee County,37039,North Carolina,211.509988916256,812
Cherokee County,40021,Oklahoma,255.796783251232,812
Cherokee County,45021,South Carolina,220.050048029557,812
Cherokee County,48073,Texas,128.572778325123,812
Cherry County,31031,Nebraska,34.1597795566502,812
Chesapeake City,51550,Virginia,175.83220320197,812
Cheshire County,33005,New Hampshire,166.21610591133,812
Chester County,42029,Pennsylvania,150.860080049261,812
Chester County,45023,South Carolina,268.507587438424,812
Chester County,47023,Tennessee,286.888775862069,812
Chesterfield County,45025,South Carolina,221.680264778325,812
Chesterfield County,51041,Virginia,177.748350985222,812
Cheyenne County,8017,Colorado,83.0658756157636,812
Cheyenne County,20023,Kansas,159.537698275862,812
Cheyenne County,31033,Nebraska,82.5026490147783,812
Chickasaw County,19037,Iowa,182.866248768473,812
Chickasaw County,28017,Mississippi,274.618365763547,812
Chicot County,5017,Arkansas,220.25811453202,812
Childress County,48075,Texas,298.003949507389,812
Chilton County,1021,Alabama,214.017575123153,812
Chippewa County,26033,Michigan,193.049938423645,812
Chippewa County,27023,Minnesota,212.678471674877,812
Chippewa County,55017,Wisconsin,247.751084975369,812
Chisago County,27025,Minnesota,220.004959359606,812
Chittenden County,50007,Vermont,164.999729064039,812
Choctaw County,1023,Alabama,122.546178571429,812
Choctaw County,28019,Mississippi,216.094751231527,812
Choctaw County,40023,Oklahoma,232.103225369458,812
Chouteau County,30015,Montana,129.206528325123,812
Chowan County,37041,North Carolina,247.824647783251,812
Christian County,17021,Illinois,271.302704433498,812
Christian County,21047,Kentucky,199.67199137931,812
Christian County,29043,Missouri,202.66018226601,812
Chugach Census Area,2063,Alaska,240.499407635468,812
Churchill County,32001,Nevada,224.229982758621,812
Ciales Municipio,72039,Puerto Rico,118.09665270936,812
Cibola County,35006,New Mexico,222.773674876847,812
Cidra Municipio,72041,Puerto Rico,117.26302955665,812
Cimarron County,40025,Oklahoma,148.509365763547,812
Citrus County,12017,Florida,170.457104679803,812
Clackamas County,41005,Oregon,124.079474137931,812
Claiborne County,28021,Mississippi,186.167710591133,812
Claiborne County,47025,Tennessee,243.422976600985,812
Claiborne Parish,22027,Louisiana,161.36384729064,812
Clallam County,53009,Washington,125.130639162562,812
Clare County,26035,Michigan,184.243571428571,812
Clarendon County,45027,South Carolina,220.704078817734,812
Clarion County,42031,Pennsylvania,181.669314039409,812
Clark County,5019,Arkansas,199.946572660099,812
Clark County,16033,Idaho,0,812
Clark County,17023,Illinois,264.123128078818,812
Clark County,18019,Indiana,226.336879310345,812
Clark County,20025,Kansas,128.525980295567,812
Clark County,21049,Kentucky,246.359740147783,812
Clark County,29045,Missouri,180.154089901478,812
Clark County,32003,Nevada,203.821437192118,812
Clark County,39023,Ohio,224.403316502463,812
Clark County,46025,South Dakota,128.789516009852,812
Clark County,53011,Washington,156.276549261084,812
Clark County,55019,Wisconsin,185.614466748769,812
Clarke County,1025,Alabama,256.695871921182,812
Clarke County,13059,Georgia,199.003375615764,812
Clarke County,19039,Iowa,193.780349753695,812
Clarke County,28023,Mississippi,228.118958128079,812
Clarke County,51043,Virginia,143.985631773399,812
Clatsop County,41007,Oregon,96.0569039408867,812
Clay County,1027,Alabama,258.625315270936,812
Clay County,5021,Arkansas,234.549580049261,812
Clay County,12019,Florida,210.440653940887,812
Clay County,13061,Georgia,89.6485615763547,812
Clay County,17025,Illinois,300.717147783251,812
Clay County,18021,Indiana,221.097259852217,812
Clay County,19041,Iowa,214.210062807882,812
Clay County,20027,Kansas,197.87231773399,812
Clay County,21051,Kentucky,337.211060344828,812
Clay County,27027,Minnesota,264.772002463054,812
Clay County,28025,Mississippi,213.171012315271,812
Clay County,29047,Missouri,93.0011194581281,812
Clay County,31035,Nebraska,80.5664495073892,812
Clay County,37043,North Carolina,188.671124384236,812
Clay County,46027,South Dakota,205.595871921182,812
Clay County,47027,Tennessee,242.585793103448,812
Clay County,48077,Texas,154.614217980296,812
Clay County,54015,West Virginia,223.478448275862,812
Clayton County,13063,Georgia,188.362248768473,812
Clayton County,19043,Iowa,162.507687192118,812
Clear Creek County,8019,Colorado,120.664275862069,812
Clearfield County,42033,Pennsylvania,208.796389162562,812
Clearwater County,16035,Idaho,211.22743226601,812
Clearwater County,27029,Minnesota,193.848887931035,812
Cleburne County,1029,Alabama,196.846104679803,812
Cleburne County,5023,Arkansas,219.617883004926,812
