ipsedID,school,county,fipsCode,state,avgCasePerCapita,vaxPolicySchoolnameCHECK
179326,Southwest Baptist University,Polk County,29167,MO,214.200445812808,Southwestern University
179867,Washington University in St Louis,St. Louis County,29189,MO,191.605163793103,Washington University in St. Louis
180106,Carroll College,Lewis and Clark County,30049,MT,217.638593596059,Curry College
180416,Montana Technological University,Silver Bow County,30093,MT,206.349118226601,Lawrence Technological University
180692,The University of Montana-Western,Beaverhead County,30001,MT,180.449410098522,The University of the South
180984,Concordia University-Nebraska,Seward County,31159,NE,84.0992512315271,Concordia University at Chicago
182290,University of Nevada-Reno,Washoe County,32031,NV,191.07984729064,University of Nevada at Reno
182306,Great Basin College,Elko County,32007,NV,189.216193349754,Great Basin College
183026,Southern New Hampshire University,Merrimack County,33013,NH,182.640466748768,Southern New Hampshire University
183044,University of New Hampshire-Main Campus,Strafford County,33017,NH,192.198889162562,University of New Mexico-Main Campus
183804,Beth Medrash Govoha,Ocean County,34029,NJ,230.637773399015,Bethany College
183974,Centenary University,Warren County,34041,NJ,196.082431034483,Centenary University
184603,Fairleigh Dickinson University-Metropolitan Campus,Bergen County,34003,NJ,208.164229064039,Fairleigh Dickinson University
184782,Rowan University,Gloucester County,34015,NJ,206.314454433498,Rowan University
185572,Monmouth University,Monmouth County,34025,NJ,229.301133004926,Monmouth University
185590,Montclair State University,Passaic County,34031,NJ,249.159294334975,Montclair State University
186371,Rutgers University-Camden,Camden County,34007,NJ,214.131660098522,Rutgers University-Camden
187596,Navajo Technical University,McKinley County,35031,NM,311.573736453202,Upstate Medical University
187985,University of New Mexico-Main Campus,Bernalillo County,35001,NM,186.452422413793,University of New Mexico-Main Campus
188304,Western New Mexico University,Grant County,35017,NM,208.435475369458,Western New England University
190099,Colgate University,Madison County,36053,NY,160.776757389163,Colgate University
190983,Elmira College,Chemung County,36015,NY,220.383975369458,Elms College
191630,Hobart William Smith Colleges,Ontario County,36069,NY,157.379043103448,Hobart and William Smith Colleges
192448,Long Island University,Nassau County,36059,NY,257.518868226601,Longwood University
193016,Mercy College,Westchester County,36119,NY,224.846550492611,Mercy College
194824,Rensselaer Polytechnic Institute,Rensselaer County,36083,NY,171.411581280788,Rensselaer Polytechnic Institute
195164,St Bonaventure University,Cattaraugus County,36009,NY,173.845983990148,St. Bonaventure University
195243,St. Thomas Aquinas College,Rockland County,36087,NY,245.263604679803,St. Francis College
195809,St. John's University-New York,Queens County,36081,NY,245.90042364532,St. John's University
196060,SUNY at Albany,Albany County,36001,NY,167.37072044335,SUNY at Albany
196246,SUNY College at Plattsburgh,Clinton County,36019,NY,179.368242610837,SUNY College at Plattsburgh
196413,Syracuse University,Onondaga County,36067,NY,213.787062807882,Syracuse University
197911,Barton College,Wilson County,37195,NC,227.766497536946,Boston College
197984,Belmont Abbey College,Gaston County,37071,NC,249.977592364532,Beloit College
198215,Catawba College,Rowan County,37159,NC,249.344176108374,Cascadia College
198303,Chowan University,Hertford County,37091,NC,168.191357142857,Rowan University
198464,East Carolina University,Pitt County,37147,NC,249.484708128079,Castleton University
198808,Lees-McRae College,Avery County,37011,NC,221.579472906404,Le Moyne College
198835,Lenoir-Rhyne University,Catawba County,37035,NC,256.74496182266,Lenoir-Rhyne University
199111,University of North Carolina at Asheville,Buncombe County,37021,NC,172.525830049261,University of California at Irvine
199120,University of North Carolina at Chapel Hill,Orange County,37135,NC,152.038149014778,University of Maryland at College Park
199148,University of North Carolina at Greensboro,Guilford County,37081,NC,187.580602216749,University of Michigan at Dearborn
199193,North Carolina State University at Raleigh,Wake County,37183,NC,225.049352216749,Louisiana State University at Eunice
199218,University of North Carolina Wilmington,New Hanover County,37129,NC,185.588100985222,University of Phoenix in Washington
200004,Western Carolina University,Jackson County,37099,NC,182.828713054187,Western Oregon University
200156,University of Jamestown,Stutsman County,38093,ND,288.419113300493,University of Charleston
200484,Trinity Bible College and Graduate School,Dickey County,38021,ND,236.017408866995,Pierce College at Fort Steilacoom
201441,Bowling Green State University-Main Campus,Wood County,39173,OH,207.15775,Washington State University-Tri Cities
204501,Oberlin College,Lorain County,39093,OH,185.040086206897,Emerson College
204635,Ohio Northern University,Hardin County,39065,OH,190.224102216749,Ohio State University
204680,Ohio State University-Mansfield Campus,Richland County,39139,OH,224.109167487685,Ohio State University
205957,Franciscan University of Steubenville,Jefferson County,39081,OH,192.789392857143,Chamberlain University at Jacksonville
206604,Wright State University-Main Campus,Greene County,39057,OH,191.225426108374,Kent State University at Salem
206695,Youngstown State University,Mahoning County,39099,OH,201.151801724138,Louisiana State University
206817,Bacone College,Muskogee County,40101,OK,252.195267241379,Bard College
207388,Oklahoma State University-Main Campus,Payne County,40119,OK,191.853128078818,California State University-Stanislaus
207403,Oklahoma Baptist University,Pottawatomie County,40125,OK,243.870951970443,Sonoma State University
207500,University of Oklahoma-Norman Campus,Cleveland County,40027,OK,240.193625615764,University of Maryland Global Campus
208646,Eastern Oregon University,Union County,41061,OR,157.383969211823,Eastern Oregon University
210429,Western Oregon University,Polk County,41053,OR,152.454136699507,Western Oregon University
210669,Allegheny College,Crawford County,42039,PA,200.742883004926,Allegheny College
210739,DeSales University,Lehigh County,42077,PA,208.84488546798,Salus University
211088,Arcadia University,Montgomery County,42091,PA,158.379166256158,Arcadia University
211291,Bucknell University,Union County,42119,PA,222.145291871921,Bucknell University
212674,Gettysburg College,Adams County,42001,PA,207.075737684729,Gettysburg College
213251,Juniata College,Huntingdon County,42061,PA,217.956052955665,Eureka College
213303,Keystone College,Wyoming County,42131,PA,159.242693349754,Boston College
213507,Lebanon Valley College,Lebanon County,42075,PA,222.126172413793,Moreno Valley College
214041,Millersville University of Pennsylvania,Lancaster County,42071,PA,191.05454679803,University of Pennsylvania
215266,University of Pittsburgh-Bradford,McKean County,42083,PA,171.789316502463,University of Connecticut-Stamford
