announceDate,type,State,allEmployees,someEmployees,allStudents,resStudentsOnly,boosterRequired,statePol2020,school,url
2021-04-16,Private,ME,1,0,1,0,1,D,Bowdoin College,https://www.bowdoin.edu/president/writings-and-addresses/messages-to-the-community/2021/apr-16.html
2021-04-23,Public,MD,1,0,1,0,0,D,Bowie State University,https://www.usmd.edu/newsroom/news/2154
2021-09-02,Public,OH,1,0,1,0,0,R,Bowling Green State University,https://www.bgsu.edu/content/dam/BGSU/covid/cho/covid-vaccination-sep2.html
2021-08-26,Private,IL,1,0,1,0,0,D,Bradley University,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-04-26,Private,MA,1,0,1,0,0,D,Brandeis University,https://www.brandeis.edu/covid-19/policies/campus-updates/2021-04-26-vaccine-requirement.html
2021-04-28,Private,NC,1,0,1,0,0,R,Brevard College,https://brevard.edu/important-policy-announcement/
2021-05-07,Private,VA,1,0,1,0,0,D,Bridgewater College,https://www.bridgewater.edu/covid-19-and-cares-act/
2021-04-26,Public,MA,0,0,1,0,0,D,Bridgewater State University,https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021
2021-06-16,Private,HI,0,0,1,0,0,D,Brigham Young University-Hawaii,https://news.byuh.edu/announcements/covid-19-immunization-requirement-for-students-beginning-fall-2021
2021-09-20,Public,MA,1,0,1,0,0,D,Bristol Community College,https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/
2021-04-06,Private,RI,1,0,1,0,1,D,Brown University,https://www.providencejournal.com/story/news/2021/04/06/brown-begin-requiring-vaccines-students-come-fall/7107713002/
2021-06-30,Private,RI,1,0,1,0,1,D,Bryant University,https://news.bryant.edu/student-covid-19-vaccination-and-masking-policy-fall-semester-2021
2021-07-23,Private,PA,1,0,1,0,0,D,Bryn Athyn College of the New Church,https://brynathyn.edu/news/addition-to-immunization-requirements-for-bac-community.html
2021-04-28,Private,PA,0,0,1,0,0,D,Bryn Mawr College,https://www.brynmawr.edu/news/message-bico-community-covid-vaccinations-be-required-students-fall-2021
2021-05-13,Private,PA,0,0,1,0,1,D,Bucknell University,https://www.bucknell.edu/life-bucknell/fall-reopening/students-families/messages-event-recordings
2021-09-20,Public,MA,1,0,1,0,0,D,Bunker Hill Community College,https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/
2021-06-21,Private,IN,1,0,1,0,0,R,Butler University,https://view.engagement.butler.edu/?qs=4a2563dafb53258736a275287b48ab5605e2f9a57dc24908ca153b7b562e1d5d03414be972f9e88dbbcad5ddff2bb4119ca0cf56d4dbfce2c0306cd68795925f627d4964f88ef9b60f277bc0fbcf8fcfd8782d2bcef8a8bc
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Bernard M Baruch College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Borough of Manhattan Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Bronx Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Brooklyn College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY City College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Graduate School and University Center,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Hostos Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Hunter College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY John Jay College of Criminal Justice,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Kingsborough Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY LaGuardia Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Lehman College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Medgar Evers College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY New York City College of Technology,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Queens College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Queensborough Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY School of Law,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY Stella and Charles Guttman Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-10,Public,NY,1,0,1,0,1,D,CUNY York College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-06-25,Private,PA,1,0,1,0,0,D,Cabrini University,https://www.cabrini.edu/about/media-hub/news/2021/vaccine-requirement
,Private,NJ,0,0,1,0,0,D,Caldwell University,https://www.caldwell.edu/coronavirus-update/student-vaccine-faq/
2021-05-05,Private,CA,1,0,1,0,1,D,California College of the Arts,https://portal.cca.edu/thriving/health-wellness/novel-coronavirus-covid19/vaccination-requirements-fall-2021/
,Private,CA,1,0,1,0,0,D,California Instititute of the Arts,https://calarts.edu/calarts-returns-2021/calarts-returns#vaccination
,Private,CA,1,0,1,0,0,D,California Institute of Integral Studies,https://www.ciis.edu/covid-19/vaccination-requirements-for-fall-2021
2021-04-30,Private,CA,1,0,1,0,0,D,California Institute of Technology,https://studentaffairs.caltech.edu/policies/vaccination-policy
,Private,CA,0,0,0,1,0,D,California Jazz Conservatory,https://cjc.edu/about-the-cjc-2/health-and-safety-guidelines/
2021-05-17,Private,CA,1,0,1,0,1,D,California Lutheran University,https://www.callutheran.edu/know/updates/?id=14346
2021-04-22,Public,CA,1,0,1,0,0,D,California Polytechnic State University at San Luis Obispo,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State Polytechnic University at Pomona,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University Maritime Academy,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Bakersfield,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Chico,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Fresno,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Fullerton,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Long Beach,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Los Angeles,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Northridge,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at Sacramento,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
